Date_Start,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-18 06:10:00,4:10 AM,6:10 AM,Los Angeles Dodgers,4,Chicago Cubs,1,Final,Yoshinobu Yamamoto,Shota Imanaga,Yoshinobu Yamamoto,Ben Brown,Tanner Scott,7.5,-115,-105,-150,+125,+1.5,+105,-125
2025-03-19 06:10:00,4:10 AM,6:10 AM,Los Angeles Dodgers,6,Chicago Cubs,3,Final,Roki Sasaki,Justin Steele,Landon Knack,Justin Steele,Alex Vesia,7.5,-120,100,-150,+125,+1.5,+110,-130
2025-03-27 15:05:00,1:05 PM,3:05 PM,Milwaukee Brewers,2,New York Yankees,4,Final,Freddy Peralta,Carlos Rodón,Carlos Rodón,Freddy Peralta,Devin Williams,8.0,100,-120,+120,-140,-1.5,-170,+145
2025-03-27 15:07:00,1:07 PM,3:07 PM,Baltimore Orioles,12,Toronto Blue Jays,2,Final,Zach Eflin,José Berríos,Zach Eflin,José Berríos,No Save,8.5,100,-120,+100,-120,+1.5,+155,-185
2025-03-27 16:05:00,2:05 PM,4:05 PM,Boston Red Sox,5,Texas Rangers,2,Final,Garrett Crochet,Nathan Eovaldi,Aroldis Chapman,Luke Jackson,Justin Slaten,8.0,-110,-110,-125,+105,+1.5,+140,-165
2025-03-27 16:05:00,2:05 PM,4:05 PM,Boston Red Sox,5,Texas Rangers,2,Final,Garrett Crochet,Nathan Eovaldi,Aroldis Chapman,Luke Jackson,Justin Slaten,7.0,-125,105,-155,+130,+1.5,+110,-130
2025-03-27 16:05:00,2:05 PM,4:05 PM,Philadelphia Phillies,7,Washington Nationals,3,Final,Zack Wheeler,MacKenzie Gore,José Alvarado,Colin Poche,No Save,8.0,-110,-110,-125,+105,+1.5,+140,-165
2025-03-27 16:05:00,2:05 PM,4:05 PM,Philadelphia Phillies,7,Washington Nationals,3,Final,Zack Wheeler,MacKenzie Gore,José Alvarado,Colin Poche,No Save,7.0,-125,105,-155,+130,+1.5,+110,-130
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,8.5,-115,-105,+150,-180,-1.5,-150,+125
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,7.5,-120,100,-105,-115,-1.5,-210,+175
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,7.5,-115,-105,-110,-110,-1.5,-230,+190
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,7.0,105,-125,-125,+105,+1.5,+150,-180
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,7.5,-115,-105,-160,+135,+1.5,+100,-120
2025-03-27 16:10:00,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald,6.5,-115,-105,-150,+125,+1.5,+125,-150
2025-03-27 16:10:00,2:10 PM,4:10 PM,New York Mets,1,Houston Astros,3,Final,Clay Holmes,Framber Valdez,Framber Valdez,Clay Holmes,Josh Hader,8.5,-115,-105,+150,-180,-1.5,-150,+125
